Tahun,January-22,February-22,March-22,April-22,May-22,June-22,July-22,August-22,September-22,October-22,November-22,December-22,January-23,February-23,March-23,April-23,May-23,June-23,July-23,August-23,September-23
Beras Premium," 12,385.62 "," 12,399.50 "," 12,406.54 "," 12,412.03 "," 12,413.25 "," 12,448.70 "," 12,445.82 "," 12,496.25 "," 12,628.65 "," 12,765.37 "," 12,814.33 "," 12,972.25 "," 13,184.85 "," 13,520.61 "," 13,712.55 "," 13,928.87 "," 13,945.60 "," 14,018.54 "," 14,039.17 "," 14,100.21 "," 14,696.41 "
Beras Medium," 10,362.31 "," 10,389.79 "," 10,416.11 "," 10,415.66 "," 10,424.58 "," 10,426.68 "," 10,414.99 "," 10,457.54 "," 10,603.68 "," 10,836.07 "," 10,894.99 "," 11,081.62 "," 11,343.98 "," 11,706.03 "," 11,869.05 "," 12,058.98 "," 12,040.69 "," 12,035.21 "," 12,079.34 "," 12,201.20 "," 12,941.87 "
